 0.5760, -1.1760, -0.8972,  1.0299, -0.3748,
           0.1898,  0.8822,  1.4099, -0.4741,  0.7740,
          -1.3337,  0.1868,  1.0449,  1.3567, -0.4194,
          -0.4207,  0.6415, -0.8749, -1.7602, -2.0643,
          -0.0924, -0.8200,  0.5525,  1.1502,  0.7757,

          1.7760, -0.1975, -1.7408, -0.0924,  0.7108,
          -2.2053, -0.7326, -0.5420, -0.9169,  0.0294,
          -1.8527, -0.2263,  0.2955,  0.3070, -0.2555,
           0.3073, -0.7970, -0.4282,  1.0514,  0.3157,
          -1.5033, -0.3214,  0.0407, -1.0022,  0.5579,

         -0.7023,  2.2751, -3.3590, -0.4246, -1.0267,
           0.6343,  1.4737, -0.3416, -1.3467, -1.3986,
          -2.0268, -0.5595, -0.7821,  1.0125, -0.5578,
          -0.9306,  0.4089, -0.4382,  0.2682,  1.7043,
           0.4938, -0.1858,  0.4777, -1.2011, -0.3060



-0.0397,  0.0159, -0.0050,
           0.1580,  0.1782, -0.1321,
          -0.0195, -0.1133, -0.1026,

          0.1102, -0.0815,  0.1718,
           0.1093, -0.0631,  0.1332,
          -0.1238, -0.0931,  0.0718,

          0.1541,  0.1007, -0.1837,
           0.1740, -0.0095, -0.0315,
          -0.1380, -0.0044, -0.1197,


         0.1225,  0.0424, -0.1462,
          -0.1614,  0.1138, -0.1181,
          -0.0562, -0.1820, -0.0884,

          0.1593,  0.0148,  0.0041,
           0.0757, -0.1585,  0.1188,
           0.0744,  0.0242,  0.0610,

          0.0688,  0.0808,  0.0642,
          -0.0030, -0.0041,  0.0181,
          -0.1603, -0.1085, -0.1794,


        -0.0884,  0.0287,  0.1166,
           0.0515, -0.0437, -0.0492,
          -0.1197, -0.0985, -0.0583,

         -0.0174,  0.1539, -0.1205,
           0.1023, -0.1576, -0.0946,
          -0.0066,  0.1350, -0.0957,

          0.1686,  0.1074, -0.0189,
           0.1460,  0.1790,  0.0705,
          -0.0215,  0.1550,  0.1852,


         0.1685,  0.0559,  0.0865,
          -0.0311, -0.0477, -0.1311,
          -0.1288, -0.0031, -0.0559,

         -0.1690,  0.0478, -0.0412,
          -0.0344, -0.1404, -0.1735,
           0.0985, -0.1613,  0.0008,

          0.0967, -0.0646,  0.0997,
           0.1187, -0.0372,  0.0199,
           0.1483, -0.0818,  0.1393,


        -0.1439, -0.1793,  0.1855,
           0.1121, -0.1415, -0.1484,
          -0.0478,  0.1265,  0.1633,

         -0.0294,  0.0770, -0.0365,
          -0.0174, -0.1845, -0.0982,
           0.0478, -0.0346, -0.0093,

          0.1639, -0.1776, -0.0156,
           0.1874, -0.0848, -0.0199,
          -0.1355, -0.0703,  0.0245




 0.9999,  0.5298, -0.3883,
          -0.5454,  0.5425,  0.5958,
          -0.1385, -0.0531, -0.4695,

          0.4677, -0.8829, -1.0414,
          -0.1858,  0.2273, -0.0155,
          -0.6605, -0.1024,  0.1563,

          0.1695,  0.0251, -0.9447,
          -0.3544, -0.2359,  0.5694,
          -0.0114, -0.0331, -0.7104,

         -1.1773,  0.5273, -0.6767,
           0.2268,  0.1585,  0.2188,
           0.1091,  0.3388,  0.3348,

         -0.1249,  2.3532, -0.1217,
          -0.5599, -1.0785, -0.5910,
           0.0209,  0.8936, -0.3561




